Date,Title,Review
"April 13, 2024",Mi crema favorita,It's the best cream I've had in years!
"April 11, 2024",My Go To!,"This is my go to daily morning moisturizer! It absorbs fully, moisturizers and helps with any irritation I get from retinols. I typically use the one with UV but decided to try this one with a separate tinted sunscreen. This is a great product at a great price point!"
"April 10, 2024",Great,My daughter uses the cream day and night and she likes it is not greasy ( she is 16 years old )
"April 06, 2024",very hydrating,I use this mixed with a small amount of rosehip oil over stronger skincare treatments at night (like retinal or glycolic acid.). I really like the moisture it adds to my skin and the price point since I am using it over pricier products.
"April 06, 2024",Irritation,"I started using this moisturizer and another skin care product at the same time and developed some red irritation in spots on my face. Because I don't know which was causing this, I discontinued both until the irritation clears, then will introduce one at a time to see which might be responsible."
"March 29, 2024",Great moisturizer,"My skin is combo, and I love how much it moisturizes without feeling greasy. It’s lightweight but also the perfect amount of heaviness."
"March 28, 2024",Perfect moisturizer,Always have this moisturizer in my cabinet. Perfect for everyday use.
"March 26, 2024",My go to moisturizer,I love this moisturizer even with my really sensitive skin. The niacinamide does not irritate my skin at all. I use this gentle moisturizer every morning and have had no issues with it so far.
"March 22, 2024",A Little Goes a Long Way,I added just a pea size of this moisturizer over my serum at night and my skin is very happy this morning. Excellent moisturizer! This bottle should last a long time!
"March 19, 2024",Great cream,I like the texture of this product. It makes my skin feel velvety and soft.
"March 14, 2024",Dries out my face,"Unfortunately, this moisturizer doesn't moisturize my face enough."
"March 09, 2024",Love!,Very inexpensive and great for my sensitive skin!
"March 08, 2024",Another Roche-Posay Favorite,"This is my morning moisturizer on days when I don't go outside and need sun protection. It goes on smoothly without being greasy or sticky and has no unpleasant odor. I love that it contains ceramide-3 and niacinamide in one product, two ingredients that are part of my skin care routine."
"March 04, 2024",I love the way this feels on my face!,A coworker originally got me using the LaRoche-Posay face wash. Since I liked it so much I decided to try the moisturizer as well. I have now officially switched from my former day moisturizer to this. Feels soft and creamy on the skin but not sticky. Very happy with it!
"March 01, 2024",Excellent product,I've been using this moisturizer for years. It's excellent for sensitive skin. It works well in winter when my skin gets really dry and works equally well in summer when there's more moisture in the air. The Double Repair Face Moisturizer feels light and doesn't cause any irritation on my skin. I've been using La Roche-Posay products for years and this one is my favorite.
"March 01, 2024",Hydrating cream,"While I think this formula is great & hydrating, I don’t find it to be strong enough for NY winters. I have my heater & find that I need to reapply throughout the day"
"February 28, 2024",Great moisturizer for the price,"If you are looking for an affordable daily moisturizer that does not have any UV protection ingredients, this is a great option. I recommend it."
"February 26, 2024",Fantastic Moisturizer,"This has been a great moisturizer to use to keep my face and neck hydrated during the winter months. The texture is soft, oil free and easily absorbed into my skin. I would definitely recommend this product."
"February 25, 2024",Perfect for my ultra-sensitive skin,"I find myself allergic to so many things, in particular fragrances. This works great for me. No reaction, redness, itching or burning."
"February 24, 2024",Dreamy moisture!,"I love this moisturizer! It’s a gel cream texture that feels amazing on the skin. I wanted more moisture while still being oil free and non comedogenic. I use the Toleriane oil free fluid during the day & this is perfect at night. I’m in my 50’s, normal to oily skin type and very sensitive. Get it, you will love!"
"February 20, 2024","Great hydration, use daily","Works great, feels lightweight. Keeps the skin nice and plump looking but you have to use it daily for best results. If you stop using it for a long time for any reason (for example when I run out of it) skin goes back to starting point."
"February 20, 2024",Made my Face Look Greasy,This is a thicker product and left my face looking shiny and greasy. It did not absorb well into my skin and a was a bit disappointing. I will stick with my Replenix products as they do a great job at a great price point when they go on sale.
"February 18, 2024",Good hydration!,Works well with acne-prone skin. Light weight and skin doesn't get sticky.
"February 18, 2024",Clean,Love all their products. My face feels clean and looks healthy. I will buy again.
"February 11, 2024","Decent, basic moisturizer","This is a good day time moisturizer. Wouldn’t be enough for me at night but good for my son who is struggling with breakouts. Also, good price point."
"February 10, 2024",La roche posay toleraine,It keeps my face moisturized all day . I prefer tube packaging than jars since less chance for contamination and easier when travelling. It has the right consistency as well- not too light or too heavy
"February 09, 2024",Smooths skin but a little irritating,"I’ve been using it just over a week and every time I use it my face itches for a few seconds after applying. My skin feels very smooth and a few laugh lines have faded but I’m concerned about why my face reacts with itching. This does not happen when I apply it to my neck. Also while my skin feels smooth it does not feel moist. I guess that’s because it absorbs very quickly. It could also be due to the fact that its winter and the air is so dry. It is unscented but I do prefer a little scent in my skincare items. Anyway, La Roche-Posay did not live up to all the hype and I doubt I will purchase this again."
"February 06, 2024","lightweight, blends well","I recently switched to this product after using another brand for many years. It's a nice, lightweight moisturizer, white in color, that blends in well with my pale, white skin. I can't feel it on my face when I'm wearing it, but when I touch my face, it feels smooth and moisturized. It only takes a little bit of product to cover my face, neck, and ears, so the tube should last a long time, and the cost is 1/4 of what I used to pay for my old product."
"January 31, 2024",Great for every skin,This is a great medium moisturizer for all skin types. I’ve used it by itself during more humid conditions and with a moisturizing toner during dryer times of the year. Wears well under makeup and sunscreen. No fragrance and no irritation! Highly recommend!
"January 12, 2024",I love La Roche-Posay,I love this moisturizer. It’s the best one I’ve ever tried.
"January 11, 2024",Nice texture and seems to work,"The texture is light and it does seem to help the skin. I am a daily tretinoin user and I've found products with Niacinamide sometimes cause a reaction on my skin- irritation and flaking skin. If I go back to using ""normal"" moisturizer it clears up. Nothing wrong with this moisturizer but I can't use it daily with the tretinoin. Otherwise it would get 5 starts."
"January 04, 2024",Delivers,"Does exactly what it promises. Moisturizing, none irritating and helps calm redness. The price is unbeatable for a quality product."
"January 02, 2024",such a great moisturizer,Love this product so much! Highly recommend. Inexpensive but high quality
"December 29, 2023",Good Quality,This is my favorite moisturizer. It's formulated without ingredients that irritate my skin or cause more acne. The price is not too bad considering the quality and consistency of the results. I use it AM and PM as part of my daily routine.
"December 28, 2023",La Roche-Posay,"This is a product I never run out of. I like to put this on at night after my retinol. This is what works for me, a wonderful product."
"December 25, 2023",crumbles and peels off of face. does not soak in,Cannot put under make up. literally balls up when rubbed and comes off face.
"December 17, 2023",FEELS LIKE SILK,I am a 72 year old who is very fair and use moisturizers 2x per day. This product is very silky and absorbs nicely into the skin. A little amount goes a long way. The price is reasonable as compared to other moisturizers. This the first time using the product and will be purchasing it again in the near future.
"December 16, 2023",Moisturizer,This is one of my favorite moisturizers. I’m left with a nice dewy glow.
"December 06, 2023",La Roche-Posay,"This Toleriane Double Reopair Face Moisturizer is far the best I have been fortunate to find. It has all the ingredients of a lot of high end and its more than half the cost. Lightweight, melts into your skin and stays moisturized all day!! Wonderful product!! Mt skin never looked so good!!!"
"November 18, 2023",Staple in my skincare regimen!,"This is my third bottle of the LRP Toleriane Moisturiser. I like it because it is hydrating without feeling heavy, and I feel my skin health has improved with the addition of ceramides. I mostly use it at night and use the UV version in the morning. However, this also layers well under a separate SPF if that is your preference."
"November 18, 2023",Great Facial Moisturizer,"I have dry skin with mild rosacea. I read about La Roche-Posay Toleriane Double Repair Face Moisturizer in a magazine and decided to try it. I am very happy I did. My skin feels softer, and it helps tone down the red when my rosacea is acting up. It's also a reasonable price point. Very happy with this product."
"November 17, 2023",Nice and light,Hydrates skin without clogging pores and does not look greasy. Helps soothe skin and decreases redness. Didn’t cause me to break out. Like that it is not scented.
"November 16, 2023",La Roche-Posay Toleriane Double Repair Face Moisturizer,"This moisturizer is one of the few that doesn’t cause my skin to breakout. I use it twice daily, and my skin never lacks moisture."
"November 05, 2023",Quality Product,Love there products! This one isn’t too heavy or too light.
"October 14, 2023",Doesn’t Absorb,"Not a fan. I like that the lightweight formula doesn’t clog my pores, but the moisturizer just sits on my skin and doesn’t absorb. I know this because if I rub the skin on my face after the moisturizer has dried, like to blend in a concealer, the moisturizer pills off."
"October 11, 2023",LOVEE IT!,"This moisturizer has been a great hit for me! I love how it works for my combination skin, it has soothed, softened and has healed my damaged skin barrier. I love how this moisturizer hydrates my skin through the night, I love the ingredients it has, niacinamide, to control oil in my T zone, and ceramides to improve and soothe my skin. I would definitely recommend this if you have combination or normal skin. I would say this is a great alternative if you are looking for a high quality drugstore moisturizer that nearly performs like a high end one."
"October 01, 2023",Double Repair Face Moisturizer,I have been using this for several years now. It goes on so smoothly and moisturizes as good as or better than some of the more expensive brands. An added plus is that it's unscented!
